Company,    Valuation_$Bn    ,Date_Joined,Industry,City,Country,Continent,Year Founded,    Funding_$Bn    ,Select Investors
Aura,3.00 ,6/9/2021,Cybersecurity,Burlington,United States,North America,2019,0.50 ,"Warburg Pincus, General Catalyst"
BYTON,3.00 ,4/20/2018,Auto ,Nanjing,China,Asia,2016,1.00 ,"FAW Group, Tencent Holdings, Tus Holdings"
Cato Networks,3.00 ,11/17/2020,Cybersecurity,Tel Aviv,Israel,Asia,2015,0.53 ,"Aspect Ventures, SingTel Innov8, Greylock Partners"
Digit Insurance,3.00 ,1/15/2021,Fintech,Bengaluru,India,Asia,2016,0.53 ,"Fairfax Financial Holdings, A91 Partners, TVS Capital"
Fetch Rewards,3.00 ,3/31/2021,E-commerce ,Madison,United States,North America,2014,0.58 ,"Greycroft, Loeb.NYC, DST Global"
Games24x7,3.00 ,3/30/2022,Internet software ,Mumbai,India,Asia,2006,0.08 ,"Tiger Global Management, The Raine Group, Malabar Investments"
GoStudent,3.00 ,6/22/2021,Edtech,Vienna,Austria,Europe,2017,0.69 ,"DN Capital, Left Lane Capital, Coatue Management"
Immutable,3.00 ,3/7/2022,Fintech,Sydney,Australia,Oceania,2018,0.28 ,"Fabric Ventures, AirTree Ventures, Temasek"
Infra.Market,3.00 ,2/25/2021,E-commerce ,Thane,India,Asia,2016,0.27 ,"Accel, Tiger Global Management, Nexus Venture Partners"
Side,3.00 ,3/22/2021,Internet software ,San Francisco,United States,North America,2017,0.31 ,"Coatue Managemeny, Trinity Ventures, Matrix Partners"
SiFive,3.00 ,3/16/2022,Hardware,San Mateo,United States,North America,2015,0.37 ,"Sutter Hill Ventures, Osage University Partners, Spark Capital"
Somatus,3.00 ,2/23/2022,Health,McLean,United States,North America,2016,0.47 ,"The Blue Venture Fund, Flare Capital Partners, Longitude Capital"
Sysdig,3.00 ,4/28/2021,Cybersecurity,San Francisco,United States,North America,2013,0.73 ,"Accel, Bain Capital Ventures, Insight Partners"
Uniphore,3.00 ,2/16/2022,Artificial Intelligence,Palo Alto,United States,North America,2008,0.61 ,"Chiratae Ventures, March Capital Partners, National Grid Partners"
Varo Bank,3.00 ,9/9/2021,Fintech,San Francisco,United States,North America,2015,0.99 ,"Warburg Pincus, The Rise Fund, HarbourVest Partners"
Vercel,3.00 ,6/23/2021,Internet software ,San Francisco,United States,North America,2015,0.31 ,"CRV, Accel, Google Ventures"
Oura,3.00 ,4/5/2022,Health,Oulu,Finland,Europe,2013,0.15 ,"Forerunner Ventures, Lifeline Ventures, MSD Capital"
Unacademy,3.00 ,9/2/2020,Edtech,Bengaluru,India,Asia,2015,0.79 ,"Blume Ventures, Nexus Venture Partners, Sequoia Capital India"
Axonius,3.00 ,3/1/2021,Cybersecurity,New York,United States,North America,2017,0.40 ,"Vertex Ventures Israel, Bessemer Venture Partners, Emerge"
Clari,3.00 ,3/3/2021,Internet software ,Sunnyvale,United States,North America,2012,0.50 ,"Sequoia Capital, Bain Capital Ventures, enaya Capital"
ManoMano,3.00 ,7/5/2021,E-commerce ,Paris,France,Europe,2013,0.71 ,"General Atlantic, Piton Capital, Partech Partners"
Pendo,3.00 ,10/17/2019,Internet software ,Raleigh,United States,North America,2013,0.36 ,"Contour Venture Partners, Battery Ventures, Core Capital Partners"
Plume,3.00 ,2/23/2021,Internet software ,Palo Alto,United States,North America,2015,0.72 ,"Insight Partners, Jackson Square Ventures, Liberty Gloval Ventures"
JumpCloud,3.00 ,9/13/2021,Data management ,Louisville,United States,North America,2012,0.41 ,"Foundry Group, General Atlantic, BlackRock"
Project44,3.00 ,6/1/2021,Supply chain,Chicago,United States,North America,2014,0.82 ,"Emergence Capital Partners, 8VC, Chicago Ventures"
Sourcegraph,3.00 ,7/13/2021,Internet software ,San Francisco,United States,North America,2013,0.25 ,"Redpoint Ventures, Goldcrest Capital, Insight Partners"
OwnBackup,3.00 ,1/28/2021,Data management ,Englewood Cliffs,United States,North America,2015,0.51 ,"Insight Partners, Salesforce Ventures, Vertex Ventures"
Starburst,3.00 ,1/6/2021,Data management ,Boston,United States,North America,1999,0.41 ,"Index Ventures, Coatue Management, Andreessen Horowitz"
Youxia Motors,3.00 ,4/2/2018,Auto ,Shanghai,China,Asia,2014,1.00 ,"China Environmental Protection Industry, China Fortune Ocean"
Zetwerk,3.00 ,8/20/2021,Internet software ,Bengaluru,India,Asia,2018,0.54 ,"Sequoia Capital India, Kae Capital, Accel"
Cars24,3.00 ,11/24/2020,E-commerce ,Gurgaon,India,Asia,2015,1.00 ,"Moore Strategic Ventures, DST Global, Sequoia Capital India"
Ethos,3.00 ,5/11/2021,Fintech,San Francisco,United States,North America,2016,0.41 ,"Sequoia Capital, Google Ventures, Accel"
Komodo Health,3.00 ,5/22/2020,Health,San Francisco,United States,North America,2014,0.31 ,"Andreessen Horowitz, IA Ventures, Felicis Ventures"
Nextiva,3.00 ,9/14/2021,Internet software ,Scottsdale,United States,North America,2008,0.20 ,Goldman Sachs Asset Management
o9 Solutions,3.00 ,4/28/2020,Artificial intelligence,Dallas,United States,North America,2009,0.42 ,KKR
Scopely,3.00 ,10/29/2019,Mobile ,Culver City,United States,North America,2011,1.00 ,"Greycroft, Sands Capital, Revolution Growth"
Sila Nanotechnologies,3.00 ,4/16/2019,Other,Alameda,United States,North America,2011,0.88 ,"Bessemer Venture Partners, Sutter Hill Ventures, Matrix Partners"
Via,3.00 ,3/30/2020,Auto ,New York,United States,North America,2012,0.78 ,"83North, RiverPark Ventures, Pitango Venture Capital"
Transmit Security,3.00 ,6/22/2021,Cybersecurity,Tel Aviv,Israel,Asia,2014,0.58 ,"General Atlantic, Insight Partners, Vintage Investment Partners"
BlockDaemon,3.00 ,9/21/2021,Fintech,Los Angeles,United States,North America,2016,0.40 ,"BOLDstart Ventures, Lerer Hippeau, Kenetic Capital"
Convoy,3.00 ,9/21/2018,Supply chain,Seattle,United States,North America,2015,0.67 ,"Greylock Partners, capitalG, Y Combinator"
Dream Games,3.00 ,6/30/2021,Mobile ,Istanbul,Turkey,Europe,2019,0.47 ,"Makers Fund, Index Ventures, Inova Ventures Participacees"
Illumio,3.00 ,4/14/2015,Cybersecurity,Sunnyvale,United States,North America,2013,0.56 ,"Data Collective, Formation 8, General Catalyst Partners"
MasterClass,3.00 ,5/13/2021,Edtech,San Francisco,United States,North America,2015,0.46 ,"Institutional Venture Partners, New Enterprise Associates, Javelin Venture Partners"
Graphcore,3.00 ,12/18/2018,Artificial intelligence,Bristol,United Kingdom,Europe,2016,0.68 ,"Dell Technologies Capital, Pitango Venture Capital, Amadeus Capital Partners"
ApplyBoard,3.00 ,5/5/2020,Edtech,Kitchener,Canada,North America,2015,0.48 ,"Artiman Ventures, Plug and Play Ventures, Anthos Capital"
Blockstream,3.00 ,8/24/2021,Fintech,Vancouver,Canada,North America,2014,0.30 ,"AME Cloud Ventures, Future Perfect Ventures, Blockchain Capital"
Cedar,3.00 ,3/9/2021,Fintech,New York,United States,North America,2016,0.33 ,"Thrive Capital, Founders Fund, Cocnord Health Partners"
ContentSquare,3.00 ,5/25/2021,Internet software ,Paris,France,Europe,2012,0.81 ,"Highland Europe, Eurazeo, Canaan Partners"
Eruditus Executive Education,3.00 ,8/12/2021,Edtech,Mumbai,India,Asia,2010,0.59 ,"Sequoia Capital India, Softbank, Bertelsmann India Investments"
Innovaccer,3.00 ,2/19/2021,Health,San Francisco,United States,North America,2014,0.38 ,"M12, WestBridge Capital, Lightspeed Venture Partners"
Ironclad,3.00 ,1/18/2022,Internet software ,Sacramento,United States,North America,2014,0.33 ,"Accel, Sequoia Capital, Y Combinator"
Skims,3.00 ,4/9/2021,E-commerce ,Los Angeles,United States,North America,2019,0.40 ,"Thrive Capital, Alliance Consumer Growth, Imaginary Ventures"
Thumbtack,3.00 ,9/29/2015,E-commerce ,San Francisco,United States,North America,2008,0.70 ,"Tiger Global, Sequoia Capital, Google Capital"
Zipline,3.00 ,5/20/2019,Supply chain,South San Francisco,United States,North America,2014,0.48 ,"Sequoia Capital, Baillie Gifford & Co., Google Ventures"
BharatPe,3.00 ,7/30/2021,Fintech,New Delhi,India,Asia,2018,0.60 ,"Insight Partners, Sequoia Capital India, BEENEXT"
DriveWealth,3.00 ,8/20/2021,Fintech,Chatham,United States,North America,2012,0.55 ,"Point72 Ventures, Route 66 Ventures, Accel"
Flink Food,3.00 ,12/1/2021,E-commerce ,Berlin,Germany,Europe,2021,1.00 ,"Mubadala Capital, Bond, Prosus Ventures"
PsiQuantum,3.00 ,7/27/2021,Hardware,Palo Alto,United States,North America,2016,0.67 ,"Playground Global, M12, BlackRock"
SpotOn,3.00 ,5/26/2021,Fintech,San Francisco,United States,North America,2017,0.63 ,"Dragoneer Investment Group, DST Global, Franklin Templeton"
Gorillas,3.00 ,3/25/2021,E-commerce ,Berlin,Germany,Europe,2020,1.00 ,"Coatue Management, Atlantic Food Labs, DST Global"
HighRadius,3.00 ,1/7/2020,Fintech,Houston,United States,North America,2006,0.48 ,"Susquehanna Growth Equity, Citi Ventures, ICONIQ Capital"
Loft,3.00 ,1/3/2020,E-commerce ,Sao Paulo,Brazil,South America,2018,0.79 ,"Monashees+, Andreessen Horowitz, QED Investors"
Nuvemshop,3.00 ,8/17/2021,E-commerce ,Sao Paulo,Brazil,South America,2011,0.63 ,"Kaszek Ventures, Qualcomm Ventures, Accel"
Udaan,3.00 ,9/4/2018,Supply chain,Bengaluru,India,Asia,2016,1.00 ,"DST Global, Lightspeed Venture Partners, Microsoft ScaleUp"
Workrise,3.00 ,9/30/2019,Internet software ,Austin,United States,North America,2014,0.72 ,"Founders Fund, Quantum Energy Partners, Bedrock Capital"
ActiveCampaign,3.00 ,4/21/2021,Internet software ,Chicago,United States,North America,2003,0.36 ,"Silversmith Capital Partners, Susquehanna Growth Equity, Tiger Global Management"
Age of Learning,3.00 ,5/3/2016,Edtech,Glendale,United States,North America,2007,0.50 ,Iconiq Capital
Amber Group,3.00 ,6/21/2021,Fintech,Hong Kong,Hong Kong,Asia,2015,0.33 ,"Tiger Global Management, Tiger Brokers, DCM Ventures"
Anchorage Digital,3.00 ,12/15/2021,Fintech,San Francisco,United States,North America,2017,0.49 ,"Andreessen Horowitz, Blockchain Capital, Lux Capital"
BlockFi,3.00 ,3/11/2021,Fintech,Jersey City,United States,North America,2017,1.00 ,"ConsenSys Ventures, Valar Ventures, PUC"
Calendly,3.00 ,1/26/2021,Internet software ,Atlanta,United States,North America,2013,0.35 ,"ICONIQ Capital, OpenView Venture Partners"
Carbon Health,3.00 ,7/21/2021,Health,San Francisco,United States,North America,2015,0.52 ,"Brookfield Asset Management, Blackstone, Data Collective"
Circle,3.00 ,5/15/2018,Fintech,Boston,United States,North America,2013,0.71 ,"General Catalyst, Digital Currency Group, Accel"
CMR Surgical,3.00 ,9/17/2019,Health,Cambridge,United Kingdom,Europe,2014,0.98 ,"Cambridge Innovation Capital, LGT Capital Partners, Escala Capital"
Contentful,3.00 ,7/28/2021,Internet software ,Berlin,Germany,Europe,2013,0.33 ,"Balderton Capital, General Catalyst, Tiger Global Management"
Cross River Bank,3.00 ,2/11/2022,Fintech,Fort Lee,United States,North America,2008,0.78 ,"Battery Ventures, Andreessen Horowitz, Ribbit Capital"
Delhivery,3.00 ,2/27/2019,Supply chain,Gurgaon,India,Asia,2011,1.00 ,"Times Internet, Nexus Venture Partners, SoftBank Group"
FlixBus,3.00 ,7/18/2019,Auto ,Munich,Germany,Europe,2013,1.00 ,"Holtzbrinck Ventures, Unternehmertum Venture Capital, General Atlantic"
Flutterwave,3.00 ,3/9/2021,Fintech,San Francisco,United States,North America,2016,0.47 ,"Green Visor Capital, CRE Venture Capital, Greycroft"
Forter,3.00 ,11/19/2020,Cybersecurity,New York,United States,North America,2013,0.53 ,"Sequoia Capital Israel, Scale Venture Partners, Commerce Ventures"
Grafana Labs,3.00 ,3/25/2021,Internet software ,New York,United States,North America,2014,0.54 ,"Lightspeed Venture Partners, Lead Edge Capital, Coatue Management"
Groww,3.00 ,4/7/2021,Fintech,Bengaluru,India,Asia,2017,0.39 ,"Tiger Global Management, Sequoia Capital India, Ribbit Capital"
Inxeption,3.00 ,1/13/2022,Fintech,San Francisco,United States,North America,2017,0.19 ,"Coatue Management, BMO Capital, Schonfeld Strategic Advisors"
KK Group,3.00 ,10/23/2019,E-commerce ,Dongguan,China,Asia,2014,0.61 ,"Matrix Partners China, Bright Venture Capita, Shenzhen Capital Group"
Lattice,3.00 ,3/23/2021,Internet software ,San Francisco,United States,North America,2015,0.33 ,"Khosla Ventures, Thrive Capital, Y Combinator"
LaunchDarkly,3.00 ,8/10/2021,Internet software ,Oakland,United States,North America,2014,0.33 ,"Uncork Capital, Threshold Ventures, Bloomberg Beta"
Lucid,3.00 ,6/29/2021,Internet software ,South Jordan,United States,North America,2010,0.17 ,"Spectrum Equity, ICONIQ Capital, Grayhawk Capital"
Outschool,3.00 ,4/14/2021,Edtech,San Francisco,United States,North America,2015,0.24 ,"Uniion Square Ventures, Tiger Global Management, Lightspeed Venture Capital"
Podium,3.00 ,4/7/2020,Internet software ,Lehi,United States,North America,2014,0.42 ,"Accel, Summit Partners, Google Ventures"
Remote,3.00 ,7/13/2021,Fintech,San Francisco,United States,North America,2016,0.50 ,"Index Ventures, Sequoia Capital, General Catalyst"
Seismic,3.00 ,12/18/2018,Internet software ,San Diego,United States,North America,2010,0.43 ,"Jackson Square Ventures, General Atlantic, Lightspeed Venture Partners"
Sky Mavis,3.00 ,10/4/2021,Internet software ,Ho Chi Minh City,Vietnam,Asia,2019,0.31 ,"Fabric Ventures, 500 Global, Standard Crypto"
SouChe Holdings,3.00 ,11/1/2017,E-commerce ,Hangzhou,China,Asia,2012,1.00 ,"Morningside Ventures, Warburg Pincus, CreditEase Fintech Investment Fund"
TradingView,3.00 ,10/14/2021,Fintech,Westerville,United States,North America,2011,0.34 ,"Tiger Global Management, Insight Partners, Jump Capital"
Traveloka,3.00 ,1/1/2017,Travel,Jakarta,Indonesia,Asia,2012,1.00 ,"Global Founders Capital, East Ventures, Expedia Inc."
wefox,3.00 ,3/5/2019,Fintech,Berlin,Germany,Europe,2014,0.92 ,"Salesforce Ventures, Seedcamp, OMERS Ventures"
Wildlife Studios,3.00 ,12/5/2019,Other,Sao Paulo,Brazil,South America,2011,0.18 ,"Benchmark, Bessemer Venture Partners"
Abogen,4.00 ,11/29/2021,Health,Suzhou,China,Asia,2019,1.00 ,"Hillhouse Capital Management, SoftBank Group, Qiming Venture Partners"
Greensill,4.00 ,7/16/2018,Fintech,London,United Kingdom,Europe,2011,2.00 ,"SoftBank Group, General Atlantic"
HyalRoute,4.00 ,5/26/2020,Mobile ,Singapore,Singapore,Asia,2015,0.26 ,Kuang-Chi
Radiology Partners,4.00 ,2/26/2018,Health,El Segundo,United States,North America,2012,1.00 ,"New Enterprise Associates, Starr Investment Holdings"
Yello Mobile,4.00 ,11/11/2014,Mobile ,Seoul,South Korea,Asia,2012,0.22 ,Formation 8
Turing,4.00 ,12/20/2021,Internet software ,Palo Alto,United States,North America,2018,0.13 ,"Foundation Capital, Frontier Ventures, AltaIR Capital"
Lenskart,4.00 ,12/20/2019,E-commerce ,Faridabad,India,Asia,2008,0.78 ,"Chiratae Ventures, PremjiInvest, Softbank"
Kraken,4.00 ,6/25/2019,Fintech,San Francisco,United States,North America,2011,0.12 ,"Bnk To The Future, Trammell Ventures, SBI Investment"
Horizon Robotics,4.00 ,2/27/2019,Artificial intelligence,Beijing,China,Asia,2015,2.00 ,"Hillhouse Capital Management, Linear Venture, Morningside Venture Capital"
MoonPay,4.00 ,11/22/2021,Fintech,Miami,United States,North America,2019,0.56 ,"New Enterprise Associates, Coatue Management, Tiger Global Management"
Celsius Network,4.00 ,10/12/2021,Fintech,Hoboken,United States,North America,2017,0.86 ,"WestCap Group, Caisse de depot et placement du Quebec"
ChargeBee Technologies,4.00 ,4/20/2021,Fintech,Walnut,United States,North America,2011,0.47 ,"Insight Partners, Tiger Global Management, Accel"
Coalition,4.00 ,3/17/2021,Cybersecurity,San Francisco,United States,North America,2017,0.51 ,"Two Sigma Ventures, Flint Capital, Commerce Ventures"
Commure,4.00 ,9/16/2021,Internet software ,San Francisco,United States,North America,2017,0.54 ,"General Catalyst, HCA Healthcare"
Flock Safety,4.00 ,7/13/2021,Hardware,Atlanta,United States,North America,2017,0.38 ,"Matrix Partners, Initialized Capital, Tiger Global Management"
Handshake,4.00 ,5/12/2021,Internet software ,San Francisco,United States,North America,2014,0.43 ,"Kleiner Perkins Caufield & Byers, Lightspeed Venture Partners, True Ventures"
Highspot,4.00 ,2/22/2021,Internet software ,Seattle,United States,North America,2013,0.64 ,"Madrona Venture Group, Shasta Ventures, Salesforce Ventures"
Indigo Ag,4.00 ,9/26/2017,Artificial intelligence,Boston,United States,North America,2014,1.00 ,"Activant Capital Group, Alaska Permanent Fund, Baillie Gifford & Co."
Mirakl,4.00 ,9/22/2020,E-commerce ,Paris,France,Europe,2011,0.95 ,"Elaia Partners, 83North, Felix Capital"
Rec Room,4.00 ,3/23/2021,Internet software ,Seattle,United States,North America,2016,0.29 ,"First Round Capital, Sequoia Capital, Index Ventures"
Tekion,4.00 ,10/21/2020,Internet software ,San Ramon,United States,North America,2016,0.44 ,"Airbus Ventures, Index Ventures, Advent International"
Otto Bock HealthCare,4.00 ,6/24/2017,Health,Duderstadt,Germany,Europe,1919,0.01 ,EQT Partners
Outreach,4.00 ,4/16/2019,Internet software ,Seattle,United States,North America,2011,0.49 ,"Mayfield Fund, M12, Trinity Ventures"
WeRide,4.00 ,12/23/2020,Auto ,Guangzhou,China,Asia,2017,1.00 ,"Atop Capital, IDInvest Partners, Qiming Venture Partners"
Applied Intuition,4.00 ,10/22/2020,Data management ,Sunnyvale,United States,North America,2017,0.35 ,"Andreessen Horowitz, Lux Capital, General Catalyst"
Course Hero,4.00 ,2/12/2020,Edtech,Redwood City,United States,North America,2006,0.48 ,"NewView Capital, Maveron, Ridge Ventures"
Relativity,4.00 ,3/18/2021,Internet software ,Chicago,United States,North America,2001,0.13 ,"Silver Lake, ICONIQ Capital"
Whoop,4.00 ,10/28/2020,E-commerce ,Boston,United States,North America,2012,0.40 ,"NextView Ventures, Promus Ventures, Two Sigma Ventures"
Arctic Wolf Networks,4.00 ,10/22/2020,Cybersecurity,Eden Prairie,United States,North America,2012,0.50 ,"Lightspeed Venture Partners, Redpoint Ventures, Viking Global Investors"
GOAT,4.00 ,9/23/2020,E-commerce ,Culver City,United States,North America,2015,0.49 ,"Upfront Ventures, Webb Investment Network, D1 Capital Partners"
Noom,4.00 ,5/24/2021,Health,New York,United States,North America,2006,0.66 ,"Qualcomm Ventures, Samsung Ventures, Silver Lake"
Papaya Global,4.00 ,3/4/2021,Internet software ,New York,United States,North America,2016,0.44 ,"Bessemer Venture Partners, Insight Partners, New Era Ventures"
Redwood Materials,4.00 ,7/28/2021,Other,Carson City,United States,North America,2017,0.79 ,"Breakthrough Energy Ventures, Capricorn Investment Group, Valor Equity Partners"
ShareChat,4.00 ,4/8/2021,Internet software ,Bengaluru,India,Asia,2015,1.00 ,"India Quotient, Elevation Capital, Lightspeed Venture Partners"
Sorare,4.00 ,9/21/2021,E-commerce ,Paris,France,Europe,2019,0.74 ,"Benchmark, Accel, SoftBank Group"
VAST Data,4.00 ,4/16/2020,Data management ,New York,United States,North America,2016,0.26 ,"Norwest Venture Partners, Goldman Sachs, Dell Technologies Capital"
Articulate,4.00 ,7/1/2021,Edtech,New York,United States,North America,2015,2.00 ,"Blackstone, ICONIQ Growth, General Atlantic"
Dutchie,4.00 ,3/16/2021,E-commerce ,Bend,United States,North America,2017,0.60 ,"Casa Verde Capital, Gron Ventures, Thrity Five Ventures"
FalconX,4.00 ,8/10/2021,Fintech,San Mateo,United States,North America,2018,0.32 ,"Tiger Global Management, American Express Ventures, B Capital Group"
Guild Education,4.00 ,11/13/2019,Internet software ,Denver,United States,North America,2015,0.38 ,"General Atlantic, Blackstone, ICONIQ Growth"
Chainalysis,4.00 ,11/23/2020,Fintech,New York,United States,North America,2014,0.37 ,"Addition, Benhcmark, Accel"
dbt Labs,4.00 ,6/30/2021,Data management ,Philadelphia,United States,North America,2016,0.41 ,"Andreessen Horowitz, Amplify Partners, Sequoia Capital"
Globalization Partners,4.00 ,1/24/2022,Internet software ,Boston,United States,North America,2012,0.35 ,"Vista Equity Partners, Wincove, TDR Capital"
Intarcia Therapeutics,4.00 ,4/1/2014,Health,Boston,United States,North America,1995,1.00 ,"New Enterprise Associates, New Leaf Venture Partners, Charter Venture Capital"
Relativity Space,4.00 ,11/23/2020,Other,Inglewood,United States,North America,2016,1.00 ,"Playground Global, Bond, Tribe Capital"
StockX,4.00 ,6/26/2019,E-commerce ,Detroit,United States,North America,2016,0.50 ,"Google Ventures, Battery Ventures, DST Global"
ThoughtSpot,4.00 ,5/8/2018,Internet software ,Sunnyvale,United States,North America,2012,0.66 ,"Lightspeed Venture Partners, Khosla Ventures, Geodesic Capital"
SSENSE,4.00 ,6/8/2021,E-commerce ,Montreal,Canada,North America,2003,0.41 ,Sequoia Capital
BitPanda,4.00 ,3/16/2021,Fintech,Vienna,Austria,Europe,2014,0.55 ,"Speedinvest, Valar Ventures, Uniqa Ventures"
Dataminr,4.00 ,6/4/2018,Artificial intelligence,New York,United States,North America,2009,1.00 ,"Venrock, Institutional Venture Partners, Goldman Sachs"
Weee!,4.00 ,3/16/2021,Supply chain,Fremont,United States,North America,2015,0.85 ,"Goodwater Capital, iFly, XVC Venture Capital"
Medlinker,4.00 ,7/31/2018,Health,Chengdu,China,Asia,2014,0.76 ,"China Health Industry Investment Fund, China Renaissance, and Sequoia Capital China"
Hozon Auto,4.00 ,2/22/2022,Auto ,Shanghai,China,Asia,2014,2.00 ,"HD Capital, Qihoo 360 Technology, China Fortune Land Development"
Aurora Solar,4.00 ,5/24/2021,Internet software ,San Francisco,United States,North America,2013,0.52 ,"Fifth Wall Ventures, Energize Ventures, ICONIQ Capital"
Branch,4.00 ,9/10/2018,Mobile ,Redwood City,United States,North America,2014,0.67 ,"New Enterprise Associates, Pear, Cowboy Ventures"
BrowserStack,4.00 ,6/16/2021,Internet software ,Dublin,Ireland,Europe,2011,0.25 ,"Accel, Insight Partners, Bond Capital"
Cerebras Systems,4.00 ,11/14/2018,Hardware,Los Altos,United States,North America,2016,0.72 ,"Benchmark, Foundation Capital, Sequoia Capital"
ClickUp,4.00 ,12/15/2020,Internet software ,San Diego,United States,North America,2017,0.54 ,"Georgian Partners, Craft Ventures"
Clubhouse,4.00 ,1/24/2021,Mobile ,San Francisco,United States,North America,2020,0.11 ,"Andreessen Horowitz, TQ Ventures"
Farmers Business Network,4.00 ,8/3/2020,Other,San Carlos,United States,North America,2014,0.87 ,"Blackrock, Kleiner Perkins Caulfield & Byers, Google Ventures"
Houzz,4.00 ,9/30/2014,E-commerce ,Palo Alto,United States,North America,2008,0.61 ,"New Enterprise Associates, Sequoia Capital, Comcast Ventures"
MEGVII,4.00 ,10/31/2017,Artificial intelligence,Beijing,China,Asia,2011,1.00 ,"Ant Financial Services Group, Russia-China Investment Fund, Foxconn Technology Company"
Melio,4.00 ,1/25/2021,Fintech,New York,United States,North America,2018,0.50 ,"Accel, Aleph, American Express Ventures"
Next Insurance,4.00 ,10/7/2019,Fintech,Palo Alto,United States,North America,2016,0.88 ,"Zeev Ventures, Ribbit Capital, TLV Partners"
Olive,4.00 ,12/1/2020,Internet software ,Columbus,United States,North America,2012,0.86 ,"Drive Capital, General Catalyst, Ascension Ventures"
Patreon,4.00 ,9/2/2020,Internet software ,San Francisco,United States,North America,2013,0.41 ,"Index Ventures, Thrive Capital, CRV"
PointClickCare,4.00 ,1/7/2021,Internet software ,Mississauga,Canada,North America,2000,0.23 ,"Dragoneer Investment Group, Hellman & Friedman, JMI Equity"
Rubrik,4.00 ,4/28/2017,Data management ,Palo Alto,United States,North America,2014,0.55 ,"Greylock Partners, Lightspeed Venture Partners, Khosla Ventures"
Vuori,4.00 ,10/13/2021,E-commerce ,Carlsbad,United States,North America,2015,0.45 ,"SoftBank Group, Norwest Venture Partners"
Webflow,4.00 ,1/13/2021,Internet software ,San Francisco,United States,North America,2012,0.34 ,"Accel, Silversmith Capital Partners, capitalG"
Yuga Labs,4.00 ,3/22/2022,Fintech,Miami,United States,North America,2021,0.45 ,"Andreessen Horowitz, Thrive Capital, Sound Ventures"
Zapier,4.00 ,1/14/2021,Internet software ,Sunnyvale,United States,North America,2011,   -     ,"Sequoia Capital, Bessemer Venture Partners, Threshold Ventures"
DailyHunt,5.00 ,12/22/2020,Internet software ,Bengaluru,India,Asia,2007,0.87 ,"Falcon Edge Capital, Omidyar Network, Sequoia Capital India"
Howden Group Holdings,5.00 ,9/29/2020,Other,London,United Kingdom,Europe,1994,0.19 ,"General Atlantic, 3i Group, Huagai Capital"
Meesho,5.00 ,4/5/2021,Internet software ,Bengaluru,India,Asia,2015,1.00 ,"Venture Highway, Sequoia Capital India, Prosus Ventures"
Meizu Technology,5.00 ,7/23/2014,Hardware,Zhuhai,China,Asia,2003,0.94 ,"Telling Telecommunication Holding Co., Alibaba Group"
CloudWalk Technology,5.00 ,10/8/2018,Artificial intelligence,Guangzhou,China,Asia,2015,0.51 ,"Oriza Holdings, Guangdong Technology Financial Group"
Royole Corporation,5.00 ,8/18/2015,Hardware,Shenzhen,China,Asia,2012,0.49 ,"Warmsun Holding, IDG Capital Partners"
Monzo,5.00 ,10/31/2018,Fintech,London,United Kingdom,Europe,2015,1.00 ,"Passion Capital, Thrive Capital, Orange Digital Ventures"
Socure,5.00 ,3/16/2021,Cybersecurity,New York,United States,North America,2012,0.64 ,"Two Sigma Ventures, Flint Capital, Commerce Ventures"
VIPKid,5.00 ,8/4/2016,Edtech,Beijing,China,Asia,2013,1.00 ,"Sequoia Capital China, Tencent Holdings, Sinovation Ventures"
Vinted,5.00 ,11/27/2019,E-commerce ,Vilnius,Lithuania,Europe,2008,0.56 ,"Accel, Insight Partners, Burda Principal Investments"
Lendable,5.00 ,3/31/2021,Fintech,London,United Kingdom,Europe,2014,0.29 ,"Ontario Teachers' Pension Plan, Goldman Sachs"
UBTECH Robotics,5.00 ,7/25/2016,Hardware,Shenzhen,China,Asia,2012,0.94 ,"CDH Investments, Goldstone Investments, Qiming Venture Partners"
Anduril,5.00 ,9/11/2019,Artificial intelligence,Irvine,United States,North America,2017,0.69 ,"Andreessen Horowitz, Founders Fund, Revolution Ventures"
Checkr,5.00 ,9/19/2019,Internet software ,San Francisco,United States,North America,2014,0.56 ,"Y Combinator, Accel, T. Rowe Price"
Color,5.00 ,1/4/2021,Health,Burlingame,United States,North America,2013,0.50 ,"General Catalyst, Viking Global Investors, T. Rowe Price"
Dataiku,5.00 ,12/4/2019,Internet software ,New York,United States,North America,2013,0.65 ,"Alven Capital, FirstMark Capital, capitalG"
BetterUp,5.00 ,2/25/2021,Internet software ,San Francisco,United States,North America,2013,0.57 ,"Threshold Ventures, Lightspeed Venture Partners, Crosslink Capital"
Pleo,5.00 ,7/6/2021,Fintech,Copenhagen,Denmark,Europe,2015,0.43 ,"Creandum, Founders, Kinnevik"
Trade Republic,5.00 ,5/20/2021,Fintech,Berlin,Germany,Europe,2015,1.00 ,"Founders Fund, Accel, Creandum"
Chipone,5.00 ,12/16/2021,Hardware,Beijing,China,Asia,2008,1.00 ,"China Grand Prosperity Investment, Silk Road Huacheng, Oriza Equity Investment"
Collibra,5.00 ,1/29/2019,Data management ,Brussels,Belgium,Europe,2008,0.60 ,"Index Ventures, Battery Ventures, ICONIQ Capital"
Rappi,5.00 ,8/31/2018,Supply chain,Bogota,Colombia,South America,2015,2.00 ,"DST Global, Andreessen Horowitz, Sequoia Capital, Redpoint e.ventures"
